date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:50	239150/239150	---M--	200	added ('OK')	image/jpeg	etag:%225902297a-3a62e%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/clem-onojeghuo-245624.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/clem-onojeghuo-245624.jpg	(from http://horizon.bycolormelon.com/flea-market-in-lyon/)
23:18:26	199556/199556	---M--	200	added ('OK')	image/jpeg	etag:%225909cd69-30b84%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/brennan-ehrhardt-25066-1024x1024.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/brennan-ehrhardt-25066-1024x1024.jpg	(from http://horizon.bycolormelon.com/contact-me/)
23:18:41	376571/376571	---M--	200	added ('OK')	image/jpeg	etag:%22590367df-5befb%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/brennan-ehrhardt-25066.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/brennan-ehrhardt-25066.jpg	(from http://horizon.bycolormelon.com/contact-me/)
23:18:47	2406/2406	---MCZ	200	added ('OK')	application/json	date:Fri,%2003%20May%202019%2017:48:44%20GMT	http://horizon.bycolormelon.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhorizon.bycolormelon.com%2Fportfolio%2Ffestivals%2F	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-json/oembed/1.0/embedb2c0.json	(from http://horizon.bycolormelon.com/portfolio/festivals/)
23:18:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20May%202019%2017:48:46%20GMT	http://horizon.bycolormelon.com/?p=191	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/indexbbbf.html	(from http://horizon.bycolormelon.com/portfolio/festivals/)
23:18:52	2539/2539	---MCZ	200	added ('OK')	text/xml	date:Fri,%2003%20May%202019%2017:48:48%20GMT	http://horizon.bycolormelon.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhorizon.bycolormelon.com%2Fportfolio%2Ffestivals%2F&format=xml	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-json/oembed/1.0/embed21ad	(from http://horizon.bycolormelon.com/portfolio/festivals/)
23:19:02	700281/700281	---M--	200	added ('OK')	image/jpeg	etag:%225902296e-aaf79%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/clem-onojeghuo-218551.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/clem-onojeghuo-218551.jpg	(from http://horizon.bycolormelon.com/flea-market-in-lyon/)
23:19:13	124165/124165	---M--	200	added ('OK')	image/jpeg	etag:%225909cda5-1e505%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/joshua-ness-104547-1024x683.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/joshua-ness-104547-1024x683.jpg	(from http://horizon.bycolormelon.com/portfolio/festivals/)
23:19:18	100043/100043	---M--	200	added ('OK')	image/jpeg	etag:%225909cd96-186cb%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/michael-benz-232499-1024x683.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/michael-benz-232499-1024x683.jpg	(from http://horizon.bycolormelon.com/portfolio/festivals/)
23:19:41	476511/476511	---M--	200	added ('OK')	image/jpeg	etag:%22590229cf-7455f%22	http://horizon.bycolormelon.com/wp-content/uploads/2017/04/shubham-sharma-224917.jpg	C:/Users/Lenovo/Desktop/trial/horizon/horizon.bycolormelon.com/wp-content/uploads/2017/04/shubham-sharma-224917.jpg	(from http://horizon.bycolormelon.com/portfolio/concerts/)
